summary_level,province_key,province_name_en,year_ce,paired_n,observed_mean_ugm3,modeled_mean_ugm3,mean_bias_modeled_minus_observed_ugm3,mae_ugm3,rmse_ugm3,pearson_r,spearman_rho
PROVINCE_YEAR,52,Lampang,2025,351,22.188444444444446,15.962986704653371,-6.225457739791072,10.017752136752136,15.124073353309823,0.774152848094893,0.7137979367536607
PROVINCE_YEAR,54,Phrae,2021,0,,,,,,,
PROVINCE_YEAR,54,Phrae,2022,137,17.78226277372263,14.061746815514526,-3.720515958208101,5.725515958208102,8.3625431353489,0.5661933808082937,0.6822899347559276
PROVINCE_YEAR,54,Phrae,2023,90,41.46122222222221,20.7225462962963,-20.738675925925925,21.123768518518517,26.630231807745485,0.8448801532703123,0.8334266240821836
PROVINCE_YEAR,54,Phrae,2024,231,29.082640692640695,16.69092712842713,-12.391713564213564,14.432435064935065,19.905897564977174,0.8459080501861181,0.8126902481913155
PROVINCE_YEAR,54,Phrae,2025,275,20.78125090909091,18.113939393939393,-2.667311515151515,8.157106666666667,11.794119870880017,0.794576249058651,0.6893043059957626
PROVINCE_YEAR,55,Nan,2021,0,,,,,,,
PROVINCE_YEAR,55,Nan,2022,130,25.67615384615385,10.771472473604826,-14.90468137254902,14.90468137254902,16.772061307089622,0.5603039970990842,0.6851380204881378
PROVINCE_YEAR,55,Nan,2023,84,59.792857142857144,24.328968253968252,-35.46388888888889,35.480357142857144,46.526299708517534,0.85829245882147,0.9088479179155492
PROVINCE_YEAR,55,Nan,2024,332,31.50189307228916,14.725828313253013,-16.776064759036146,17.288480421686746,23.196387854402765,0.878531435523044,0.8129923157671886
PROVINCE_YEAR,55,Nan,2025,348,24.039091954022986,15.386278735632185,-8.652813218390804,11.831382183908046,18.438196002678072,0.782811914029788,0.7471459406796682
PROVINCE_YEAR,56,Phayao,2021,0,,,,,,,
PROVINCE_YEAR,56,Phayao,2022,124,15.76814516129032,10.503287080961414,-5.264858080328906,5.869118833017077,8.66930060225319,0.6240208318175791,0.7322583489114795
PROVINCE_YEAR,56,Phayao,2023,73,56.42739726027397,19.754965753424653,-36.672431506849314,36.79731735159817,57.43208069064049,0.8132316178196421,0.8690125418447158
PROVINCE_YEAR,56,Phayao,2024,187,35.508716577540106,16.994229055258465,-18.51448752228164,18.98730392156863,28.20978392775446,0.8822121042430804,0.8772312632034416
PROVINCE_YEAR,56,Phayao,2025,220,25.772045454545456,18.819886363636364,-6.952159090909091,9.979666666666667,15.516029075042871,0.7825455380981343,0.7900637635151276
PROVINCE_YEAR,57,Chiang Rai,2021,0,,,,,,,
PROVINCE_YEAR,57,Chiang Rai,2022,138,17.533949275362318,11.774406791702187,-5.75954248366013,6.099421710713271,8.321082847356806,0.7454688488812364,0.7704993453195726
PROVINCE_YEAR,57,Chiang Rai,2023,88,76.33420454545454,29.477556818181814,-46.85664772727273,46.98181818181818,83.21396381782321,0.8582020821587977,0.9223074417201093
PROVINCE_YEAR,57,Chiang Rai,2024,338,31.17474852071006,15.750604043392505,-15.424144477317554,16.89110207100592,28.957056687870967,0.8528484463716275,0.8566993124145037
PROVINCE_YEAR,57,Chiang Rai,2025,334,23.519035928143712,18.91991017964072,-4.599125748502993,9.508439121756487,13.540134311193876,0.8199958107965603,0.6880118566140443
PROVINCE_YEAR,58,Mae Hong Son,2021,0,,,,,,,
PROVINCE_YEAR,58,Mae Hong Son,2022,138,11.164565217391305,6.480804205740267,-4.683761011651037,5.020512219380506,6.215514158401897,0.6491834986136653,0.6163546427122744
PROVINCE_YEAR,58,Mae Hong Son,2023,245,42.00983673469388,10.093418367346938,-31.916418367346942,32.27508503401361,63.23739205040138,0.8936537986792572,0.5632325442981876
PROVINCE_YEAR,58,Mae Hong Son,2024,358,34.644930167597764,11.223999068901303,-23.42093109869646,23.95510242085661,42.79336535049142,0.8718004447724443,0.8830924776131663
PROVINCE_YEAR,58,Mae Hong Son,2025,348,24.42178304597701,11.403687739463603,-13.018095306513409,13.757829022988506,25.908717038862736,0.822872615049117,0.8667451884137675
