province_key,province_name_en,year_ce,province_days,thailand_hotspot_total,thailand_hotspot_daily_mean,thailand_hotspot_active_days,laos_hotspot_total,laos_hotspot_daily_mean,laos_hotspot_active_days,myanmar_hotspot_total,myanmar_hotspot_daily_mean,myanmar_hotspot_active_days,china_hotspot_total,china_hotspot_daily_mean,china_hotspot_active_days,paired_pm25_days,thai_hotspot_pm25_spearman_rho,thai_hotspot_pm25_spearman_p
54,Phrae,2021,246,10999,44.71138211382114,207,5037,20.475609756097562,155,5064,20.585365853658537,161,368,1.4959349593495934,105,147,0.7827328075909651,1.150469255152489e-31
54,Phrae,2022,365,46236,126.67397260273972,318,70019,191.83287671232875,275,78644,215.46301369863014,274,930,2.547945205479452,200,325,0.8000005412145192,1.2185660724776697e-73
54,Phrae,2023,365,155910,427.1506849315069,342,180550,494.6575342465753,265,155244,425.32602739726025,272,1845,5.054794520547945,225,90,0.8949933332176659,1.3296427813921247e-32
54,Phrae,2024,366,116062,317.10928961748635,312,105359,287.8661202185792,252,130301,356.0136612021858,250,1726,4.715846994535519,212,231,0.7736723139504466,2.78744786884895e-47
54,Phrae,2025,365,88839,243.3945205479452,313,73840,202.3013698630137,248,97428,266.92602739726027,243,1637,4.484931506849315,219,275,0.7086837159999566,2.9892790013248118e-43
55,Nan,2021,246,10376,42.17886178861789,205,5648,22.959349593495936,164,3498,14.21951219512195,156,943,3.8333333333333335,133,147,0.7046450399476084,2.3068102739313085e-23
55,Nan,2022,365,43501,119.18082191780822,314,78235,214.34246575342465,281,69302,189.86849315068494,269,2332,6.389041095890411,232,311,0.7010768076229167,2.692880449470902e-47
55,Nan,2023,365,147377,403.77260273972604,339,192355,527.0,276,137770,377.45205479452056,267,4729,12.956164383561644,266,84,0.925948615535295,1.9840805900839084e-36
55,Nan,2024,366,109460,299.07103825136613,308,114685,313.3469945355191,260,115915,316.70765027322403,247,3948,10.78688524590164,240,332,0.7843575039383901,2.030964108239706e-70
55,Nan,2025,365,83765,229.4931506849315,310,80140,219.56164383561645,258,87525,239.7945205479452,242,3638,9.967123287671233,248,348,0.8369561953559562,1.3384126347613183e-92
56,Phayao,2021,246,8502,34.5609756097561,187,4792,19.479674796747968,151,5140,20.89430894308943,176,1087,4.41869918699187,138,145,0.7372542432190866,3.985200951738084e-26
56,Phayao,2022,365,35267,96.62191780821918,306,67414,184.6958904109589,267,102861,281.8109589041096,291,2466,6.756164383561644,242,307,0.7792057660975569,7.664643366126603e-64
56,Phayao,2023,365,131168,359.3643835616438,328,177194,485.46301369863016,261,180791,495.31780821917806,291,4894,13.408219178082192,267,73,0.9171147148307701,4.479171031690489e-30
56,Phayao,2024,366,94273,257.57650273224044,293,102129,279.0409836065574,249,158374,432.7158469945355,268,3794,10.366120218579235,241,187,0.878740137661676,2.510292910012023e-61
56,Phayao,2025,365,72121,197.5917808219178,293,71661,196.33150684931508,244,129692,355.3205479452055,273,3762,10.306849315068494,250,220,0.8313945339006491,1.5267487680125786e-57
57,Chiang Rai,2021,246,7676,31.203252032520325,183,5140,20.89430894308943,153,5964,24.24390243902439,184,2248,9.138211382113822,197,148,0.681979799977674,1.3997357337993658e-21
57,Chiang Rai,2022,365,32625,89.38356164383562,304,68581,187.8931506849315,268,128728,352.6794520547945,306,6893,18.884931506849316,297,328,0.7398569015513663,4.5506577007797946e-58
57,Chiang Rai,2023,365,124400,340.82191780821915,322,179418,491.5561643835616,263,219726,601.9890410958905,309,15506,42.48219178082192,318,88,0.8998009779802361,9.993264794142073e-33
57,Chiang Rai,2024,366,87211,238.28142076502732,288,104260,284.8633879781421,250,195323,533.6693989071039,279,9353,25.55464480874317,294,338,0.8133992736940432,4.653992778562234e-81
57,Chiang Rai,2025,365,67049,183.6958904109589,287,73011,200.03013698630136,245,162057,443.9917808219178,291,8576,23.495890410958904,286,334,0.7888366052460317,3.6032664434653744e-72
58,Mae Hong Son,2021,246,7038,28.609756097560975,176,2816,11.447154471544716,134,8832,35.90243902439025,184,820,3.3333333333333335,132,141,0.5566931906669469,7.611868301707872e-13
58,Mae Hong Son,2022,365,28967,79.36164383561643,299,48194,132.03835616438357,250,149382,409.26575342465753,311,2029,5.558904109589041,236,328,0.7596032640831182,7.20125325183534e-63
58,Mae Hong Son,2023,365,123591,338.6054794520548,320,128171,351.15342465753423,244,263295,721.3561643835617,312,4062,11.128767123287671,258,245,0.5892481647510427,2.690449642348343e-24
58,Mae Hong Son,2024,366,85838,234.53005464480876,286,72893,199.16120218579235,240,231673,632.9863387978143,281,3196,8.73224043715847,237,358,0.8409517466547392,5.627704048393569e-97
58,Mae Hong Son,2025,365,60854,166.72328767123287,283,49710,136.1917808219178,236,189185,518.3150684931506,294,3158,8.652054794520549,245,348,0.8050458865096385,1.804533667688192e-80
