province_key,province_name_th,province_name_en,location_id,location_name,sensor_id,sensor_name,latitude,longitude,analysis_date,pm25_ugm3,percent_coverage,primary_analysis_eligible,source
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-05,13.4,58.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-06,14.3,88.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-07,9.43,29.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-08,9.89,38.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-09,10.1,67.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-10,14.6,21.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-12,11.0,4.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-13,10.8,67.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-14,10.3,71.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-15,10.7,42.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-17,12.7,29.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-18,11.8,50.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-19,9.67,63.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-20,9.08,50.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-21,9.0,13.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-22,8.33,63.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-23,8.18,46.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-24,7.95,83.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-07-25,8.0,38.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-08-04,7.28,75.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-08-06,12.9,71.0,False,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-08-07,12.8,83.0,True,OpenAQ API v3 / sensors/1304055/days
57,เชียงราย,Chiang Rai,225567,Maesai Health Office,1304055,pm25 µg/m³,20.427325,99.883842,2021-08-08,12.9,42.0,False,OpenAQ API v3 / sensors/1304055/days
